timestamp,event,info
2026-01-19T14:15:55.332044,face_not_detected,
2026-01-19T14:15:57.437516,focused,
2026-01-19T14:16:06.945065,tab_switch,https://chatgpt.com/c/683da660-b554-8009-88ac-5054d3ac65c4
2026-01-19T14:16:39.684336,focused,http://127.0.0.1:5000/
2026-01-19T14:16:48.803543,tab_focus,chrome://newtab/
2026-01-19T14:16:59.404011,focused,https://docs.google.com/document/u/0/
2026-01-19T14:17:08.517012,focused,https://docs.google.com/document/u/0/
2026-01-19T14:17:09.805056,focused,http://127.0.0.1:5000/
2026-01-19T14:17:11.147394,focused,https://docs.google.com/document/u/0/
2026-01-19T14:17:11.679050,tab_switch,https://chatgpt.com/c/683da660-b554-8009-88ac-5054d3ac65c4
2026-01-19T14:17:17.776042,focused,http://127.0.0.1:5000/
